#SampleID	ERZ1714330	ERZ1714331	ERZ1714332	ERZ1714333	ERZ1714334	ERZ1714335	ERZ1714336	ERZ1714337	ERZ1714338	ERZ1714329	ERZ1714339
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Undibacterium	0	0	0	0	0	1	0	1	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Undibacterium;s__Undibacterium_squillarum	0	0	0	0	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	1	1	0	0	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Aquaspirillum	3	0	0	4	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	0	0	0	0	0	3	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Rivicola	0	0	0	1	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae	0	0	0	0	2	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0	0	0	3	0	0	4	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae	0	0	1	1	1	0	1	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas	0	0	0	2	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	3	0	1	1	0	0	0	0	0	0	4
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azospira	0	0	0	0	0	0	1	2	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio	0	0	0	1	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae	0	0	0	0	0	0	1	1	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera	1	0	0	0	0	0	1	1	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Zoogloea	0	0	0	3	0	1	1	4	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria	0	0	0	0	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0	0	0	0	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae	0	0	0	0	2	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae;g__Haliangium	0	0	0	0	2	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	1	0	0	1	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	2	1	0	4	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter	17	5	0	20	0	1	0	0	0	0	5
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria	0	1	2	0	1	0	1	2	0	2	2
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__Sedimenticola	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus_Competibacteraceae	1	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus_Competibacteraceae;g__Candidatus_Competibacter	1	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1	1	1	1	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	0	1	0	4	0	1	0	1	0	5	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	4	4	0	10	0	3	0	1	12	13	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas	0	1	0	5	0	2	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	0	0	0	0	0	0	0	0	0	0	3
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae	0	0	0	0	3	3	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae	0	0	0	0	0	0	0	0	0	0	2
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0	1	0	1	0	0	0	0	4	7	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0	0	0	0	0	0	0	0	13	27	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter	0	0	0	0	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0	0	0	0	0	0	0	0	0	3	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae	0	0	0	0	0	0	0	0	1	1	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0	0	0	0	0	0	0	0	3	1	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	0	0	4	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Hahellaceae;g__Hahella	0	0	2	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	0	0	0	0	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Oceanobacter	0	0	2	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0	0	0	2	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	1	1	0	2	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	8	4	0	9	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	0	0	0	0	0	0	0	0	0	0	2
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	1	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae	2	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	5	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio_cholerae	1	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0	0	0	0	1	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0	0	0	1	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas	0	0	2	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Oligoflexales	0	0	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales	0	0	0	0	0	0	0	2	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae	0	0	0	0	0	0	0	2	0	0	0
sk__Bacteria;k__;p__Spirochaetes;c__Spirochaetia;o__Leptospirales	0	0	0	0	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales	0	1	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Thermotogae;c__Thermotogae;o__Kosmotogales	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Thermotogae;c__Thermotogae;o__Kosmotogales;f__Kosmotogaceae;g__Mesotoga	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae	0	0	0	0	2	0	0	0	0	0	0
sk__Eukaryota	0	0	7	0	0	1	0	4	0	0	0
sk__Eukaryota;k__;p__;c__Aphelidea	0	0	0	0	0	1	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Hyphochytriomycetes	0	0	0	0	2	1	0	0	0	0	0
sk__Eukaryota;k__;p__Ciliophora;c__Oligohymenophorea;o__Sessilida	0	0	0	0	0	0	0	2	0	0	0
sk__Eukaryota;k__;p__Euglenozoa;c__;o__Kinetoplastida;f__Bodonidae	0	0	1	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Fungi	0	0	0	0	0	4	0	4	0	0	0
sk__Eukaryota;k__Fungi;p__Cryptomycota	0	0	1	0	0	0	0	13	0	0	0
sk__Eukaryota;k__Metazoa;p__Annelida;c__Clitellata;o__Haplotaxida;f__Naididae	0	0	0	0	2	0	0	0	0	0	0
sk__Eukaryota;k__Metazoa;p__Nematoda;c__Chromadorea;o__Monhysterida	0	0	0	0	0	0	0	0	0	0	1
sk__Eukaryota;k__Metazoa;p__Nematoda;c__Chromadorea;o__Monhysterida;f__Monhysteridae	0	0	0	0	0	0	0	0	0	0	1
