#SampleID	ERR2814645	ERR2814646	ERR2814647	ERR2814648	ERR2814649	ERR2814650	ERR2814651	ERR2814652	ERR2814653	ERR2814654	ERR2814655	ERR2814656	ERR2814657	ERR2814658	ERR2814659	ERR2814660	ERR2814661	ERR2814662	ERR2814663	ERR2814664	ERR2814665	ERR2814666	ERR2814667	ERR2814668
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia	0	0	3.0	3.0	0	1.0	1.0	1.0	0	1.0	0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0	3.0	0	1.0	2.0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus_Koribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia	0	0	3.0	0	0	0	1.0	0	3.0	2.0	2.0	4.0	0	2.0	0	0	1.0	3.0	2.0	1.0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Blastocatella	0	0	0	0	0	0	0	0	6.0	5.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Stenotrophobacter	1.0	0	0	2.0	0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae	0	0	0	1.0	0	0	1.0	2.0	2.0	2.0	0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	2.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	3.0	2.0	2.0	2.0	17.0	11.0	3.0	2.0	7.0	9.0	2.0	4.0	4.0	3.0	2.0	7.0	5.0	3.0	2.0	3.0	6.0	8.0	4.0	1.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix	0	0	0	0	3.0	4.0	0	0	0	0	0	0	0	0	0	0	0	1.0	3.0	0	0	2.0	0	1.0
