,study_id,Crenarchaeota,Euryarchaeota,Thaumarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Blastocladiomycota,Chlorophyta,Chordata,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Euglenida,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Platyhelminthes,Porifera,Rotifera,Streptophyta,Tardigrada,Xenacoelomorpha,Aquificae,Balneolaeota,Chrysiogenetes,Deferribacteres,Lentisphaerae,Thermodesulfobacteria,Brachiopoda,Echinodermata,Haplosporidia,Picozoa,Zoopagomycota,Nanoarchaeota,Dictyoglomi,Thermi,Parvarchaeota,Caldithrix,Poribacteria
ERR1414219,MGYS00001110,7,926,0,152,739,81,3658,81,0,5,89,2542,8,7,48,4916,16,35,0,0,0,31,173,4211,1310,280,467,158,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,5,23,175,1
ERR1414220,MGYS00001110,5,1418,0,283,1198,181,5277,149,0,5,183,4989,13,15,29,6065,22,36,0,0,0,36,206,5060,1117,478,135,165,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,18,338,1
ERR1414221,MGYS00001110,5,860,0,258,1261,115,11950,30,0,1,119,2505,15,3,10,3604,4,77,0,0,0,120,431,5595,1071,1537,153,82,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,12,151,0
ERR1414222,MGYS00001110,9,974,0,263,1580,146,11958,59,0,3,134,3664,22,4,9,4678,0,109,0,0,0,161,441,6690,1356,2186,141,90,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,6,15,169,0
ERR1414223,MGYS00001110,42,799,0,149,428,52,13044,62,0,3,128,3920,18,6,7,3742,2,50,0,0,0,129,305,4198,1937,1370,605,126,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,8,20,68,0
ERR1414224,MGYS00001110,37,644,0,127,445,52,10663,45,0,3,139,3078,12,1,33,3235,5,35,0,0,0,124,213,3642,1658,1258,482,118,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3,29,55,0
ERR1414225,MGYS00001110,25,551,0,133,548,44,10777,28,0,1,97,2440,8,2,16,5662,226,42,0,0,0,111,210,9918,936,906,278,75,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,16,48,0
ERR1414226,MGYS00001110,0,20,0,1252,1395,71,7287,2,0,16,159,789,60,31,8,2006,38,175,0,0,0,629,423,22848,216,0,22,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,0
ERR1414227,MGYS00001110,0,7,0,1147,2173,47,6765,0,0,11,203,834,57,33,2,1750,38,150,0,0,0,646,502,17248,150,3,22,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,3,0
ERR1414228,MGYS00001110,0,14,0,1291,2791,63,7111,0,0,13,214,876,62,29,6,1740,38,220,0,0,0,870,547,18239,187,6,24,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,6,0
