assembly_run_ids,study_id,Euryarchaeota,Actinobacteria,Bacteroidetes,Chloroflexi,Elusimicrobia,Firmicutes,Fusobacteria,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Arthropoda,Chordata,Mollusca,Nematoda,Rotifera,Cercozoa,Ciliophora,Euglenozoa,Heterolobosea,Tubulinea,Streptophyta,Crenarchaeota,Nanoarchaeota,Thaumarchaeota,Acidobacteria,Aquificae,Armatimonadetes,Balneolaeota,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chrysiogenetes,Cyanobacteria,Deferribacteres,Fibrobacteres,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospinae,Rhodothermaeota,Synergistetes,Thermodesulfobacteria,Thermotogae,Annelida,Apicomplexa,Bacillariophyta,Blastocladiomycota,Brachiopoda,Bryozoa,Chlorophyta,Chromerida,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Echinodermata,Entoprocta,Entorrhizomycota,Euglenida,Eustigmatophyceae,Gastrotricha,Gnathostomulida,Haplosporidia,Hemichordata,Microsporidia,Mucoromycota,Phaeophyceae,Picozoa,Pinguiophyceae,Placozoa,Platyhelminthes,Porifera,Priapulida,Tardigrada,Xanthophyceae,Xenacoelomorpha,Zoopagomycota,Parvarchaeota,Caldithrix
ERR2814664,MGYS00005056,28,667,5674,22,12,5369,1174,5,9,15406,111,38,98,32,3,1,12,0,4,0,0,0,0,0,0,4,0,0,1,13,0,0,0,0,0,9,0,0,26,0,12,3,12,9,13,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814665,MGYS00005056,14,322,3309,13,3,4358,426,4,6,12082,20,32,71,7,0,0,1,0,11,0,0,0,0,0,0,1,0,0,2,15,3,1,0,1,0,2,0,0,29,5,6,2,6,2,10,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
ERR2814666,MGYS00005056,14,371,3615,18,3,4747,462,4,9,13036,26,40,68,14,2,1,3,0,12,1,0,0,0,0,0,0,0,0,2,17,2,1,0,0,0,1,0,0,29,3,10,2,4,1,10,0,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
ERR2814667,MGYS00005056,62,772,6152,13,10,12338,1059,1,8,12250,89,106,64,60,6,2,4,0,12,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,1,12,4,0,38,0,55,2,30,25,11,0,0,23,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR2814668,MGYS00005056,23,1283,5738,36,3,6904,1317,5,16,13566,195,134,196,24,0,2,5,0,5,0,0,0,0,0,0,2,1,0,0,26,0,1,0,2,0,17,0,0,64,0,34,6,22,14,16,0,0,33,0,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ERR2985255,MGYS00005058,2,339,777,54,6,412,51,9,27,2790,55,8,88,0,0,0,0,0,8,7,0,0,0,0,0,4,0,1,1,41,0,1,0,1,0,13,1,0,68,0,2,9,26,3,6,0,0,8,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2985256,MGYS00005058,7,723,1807,23,2,469,68,23,52,5293,96,3,96,17,1,0,1,2,7,50,0,0,0,0,0,5,0,0,0,21,0,2,0,0,0,48,0,0,52,0,4,16,21,1,4,0,0,13,0,0,5,1,11,0,0,0,11,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
ERR2985257,MGYS00005058,11,140,509,106,3,202,53,11,32,18022,50,3,67,2,1,0,0,0,1,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,29,1,0,19,0,1,0,7,2,6,0,0,8,0,3,3,0,1,0,0,0,2,0,4,0,0,10,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ERR2985258,MGYS00005058,9,268,533,19,2,625,106,3,8,3152,27,11,82,1,2,1,1,1,5,32,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,48,0,0,7,0,16,6,8,2,8,0,0,4,0,0,0,0,0,0,0,0,8,0,2,2,0,13,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ERR2985259,MGYS00005058,5,244,443,37,0,183,31,0,11,3155,97,5,42,7,1,0,0,0,8,11,0,0,0,0,0,678,0,1,0,12,0,0,0,0,0,13,0,0,52,0,4,6,5,6,2,0,0,0,0,0,1,10,1,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0
